keys,Ref No
R1ZNOLPTI0000,S/HOU/21/1729
R1ZNQNPTI0800,S/HOU/21/1731
R1WCA7PTHY600,S/HOU/21/1720
R1MM8MPTHRQ00,S/21/1713
R1L8ALPTHR900,S/21/1710
R1J5AZPTHQ700,S/HOU/21/1702
R1DPFLPTHOS00,S/ADV/21/1692
R1DV0DPTHPC00,S/HOU/21/1695
R1DXSTPTHPF00,S/HOU/21/1696
R1WCUVPT0FL00,S/LDP/21/1721
R1WEZ1PT0FL00,S/LDP/21/1722
R166NMPTHKD00,S/ADV/21/1666
R0YJLSPTHG200,S/HOU/21/1650
R0RIU7PTHCB00,S/HOU/21/1635
R0NWB2PTHAK00,S/21/1630
R0GC2UPTH6E00,S/21/1595
QZY1Q5PTGWC00,S/LBC/21/1562
QZVQE4PTGUH00,S/HOU/21/1547
QZRY9GPTGS300,S/21/1533
QZJ8I3PTGP900,S/HOU/21/1520
QZJ2WLPTGOY00,S/LDP/21/1518
QZEZL1PTGL500,S/HOU/21/1497
QYPDFZPTG5H00,S/HOU/21/1433
QYHNMNPTG4M00,S/HOU/21/1427
QYCC2FPTFZY00,S/HOU/21/1414
QYAN4IPT04V00,S/LDP/21/1401
QXKJYEPTFLH00,S/TC/21/1335
QX9OBEPTN2K00,S/21/1310
QX21GIPTN0U00,S/21/1291
QX012APTMZH00,S/21/1281
QWW8XSPTMXI00,S/21/1265
QW0RNRPTMGK00,S/HOU/21/1180
QW0RNVPTMGL00,S/LBC/21/1181
QVI8XKPTM4M00,S/21/1135
QW6LA6PT04V00,S/HOU/21/1194
QUU69LPTLQF00,S/21/1056
QUOUN2PTLNU00,S/21/1023
QTLT84PT0FL00,S/EIA/21/0889
QSXNKTPTKO500,S/HOU/21/0836
QSN5Z2PTKIC00,S/COND/21/0806
QSMXM1PTKHW00,S/HOU/21/0797
QSMXOLPTKHX00,S/LBC/21/0798
QR5GPPPTJMF00,S/RES/21/0607
QLJOR5PTG0H00,S/HOU/20/1660
QLJORNPTG0I00,S/LBC/20/1661
QM78HPPT0FL00,S/20/1716
QA9QU3PTHIL00,S/COND/20/0576
Q106EAPTKZY00,S/COND/19/1697
